location,latitude,longitude,property_type,option,guests,number_of_bedrooms,amenities,seasonality,base_price,bathrooms,bed_type,beds,neighborhood,guest_type,images,title,description
North Sandra,20.713600,-109.849738,Hotel,An entire place,1,3,"['pool table', 'paid parking on premises', 'first aid kit', 'BBQ grill', 'TV', 'ski-in/ski-out', 'carbon monoxide alarm', 'Kitchen', 'excercise eqipment', 'piano', 'outdoor shower', 'indore fire place', 'beach access', 'kitchenSwimming Pool', 'Air Conditioning', 'dedicated wokplacepool', 'smoke alarm', 'Free parking on premises']",Autumn,2035.7647847703572,7,Double,4,Downtown,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Adult whom fast fire.,Low because TV.
Jenkinsfurt,-87.433918,-89.380510,Guesthouse,An entire place,2,1,"['ski-in/ski-out', 'TV', 'first aid kit', 'WiFi', 'Air Conditioning', 'beach access', 'carbon monoxide alarm', 'kitchenSwimming Pool']",Summer,2186.6523492049114,3,Double,5,Mountain View,An experienced guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Risk student probably language him try.,Between wife less simply local garden. Everybody picture at actually choose economic.
Shaneburgh,-16.774374,-159.478965,Apartment,A room,4,5,"['TV', 'carbon monoxide alarm', 'excercise eqipment', 'WiFi', 'beach access', 'ski-in/ski-out', 'indore fire place', 'smoke alarm', 'paid parking on premises', 'Air Conditioning', 'pool table', 'fire extinguisher']",Summer,169.57974960558042,8,Queen,6,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Add easy continue run movie.,Challenge stand share control now. Travel work option.
Janetport,5.0240485,-49.127632,Farm,A room,2,2,"['Kitchen', 'beach access', 'paid parking on premises', 'Free parking on premises', 'kitchenSwimming Pool', 'dedicated wokplacepool', 'piano', 'carbon monoxide alarm', 'first aid kit', 'BBQ grill']",Winter,4598.74752670445,4,Double,5,Mountain View,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Social claim interview stage glass.,Voice community generation land break reach watch door. Manage apply medical class use. Write hospital too especially.
Billfurt,44.0433055,-136.619636,Guesthouse,A room,4,1,"['first aid kit', 'TV', 'Air Conditioning', 'piano', 'Kitchen', 'excercise eqipment', 'ski-in/ski-out', 'kitchenSwimming Pool', 'fire extinguisher', 'Free parking on premises', 'carbon monoxide alarm']",Autumn,4109.710391960363,4,King,4,Mountain View,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Cost education method hold.,Decision hope clear cut high often. Material kid such appear environment control go figure. Because scene animal religious girl follow finally.
Lake Scott,71.338944,-178.331589,House,A room,4,1,"['WiFi', 'beach access', 'carbon monoxide alarm', 'kitchenSwimming Pool', 'Free parking on premises', 'Air Conditioning', 'piano', 'smoke alarm', 'TV', 'pool table', 'indore fire place', 'dedicated wokplacepool', 'BBQ grill']",Summer,1740.696066483816,4,Single,2,Mountain View,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Person minute strategy find theory speak.,Research important increase religious citizen. Close best explain decision book bill east team. Similar among clearly everyone hit parent our.
South Teresa,-74.427840,60.922225,Cabin,An entire place,5,4,['excercise eqipment'],Winter,1032.896529935705,5,Queen,7,Mountain View,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Baby very marriage game treatment station speech.,Back fact exist board career already until. Family woman simple task.
New Patrick,84.0894305,31.865000,Apartment,A shared room,3,1,"['pool table', 'Free parking on premises', 'BBQ grill', 'excercise eqipment', 'piano', 'smoke alarm', 'beach access', 'kitchenSwimming Pool', 'paid parking on premises', 'Kitchen', 'Air Conditioning', 'TV', 'WiFi', 'dedicated wokplacepool', 'outdoor shower', 'fire extinguisher', 'carbon monoxide alarm', 'indore fire place', 'ski-in/ski-out', 'first aid kit']",Autumn,3538.4196124191844,1,Single,2,Downtown,An experienced guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Since education pattern education stay.,Herself company world per price religious smile. Hotel cost enter.
South Brenda,-51.499665,12.717160,House,A shared room,5,4,"['smoke alarm', 'kitchenSwimming Pool', 'piano', 'paid parking on premises', 'fire extinguisher', 'TV', 'excercise eqipment', 'BBQ grill', 'Free parking on premises', 'ski-in/ski-out']",Winter,1932.7177225516605,7,Queen,8,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Option especially institution make.,Wife six home right magazine turn. Just data fine our fly past stay. Remember account stay phone wrong our media ground.
Lake Cindy,-38.8277215,103.440962,Guesthouse,A shared room,2,4,"['fire extinguisher', 'outdoor shower', 'smoke alarm', 'Air Conditioning', 'TV', 'excercise eqipment', 'pool table', 'Kitchen', 'WiFi', 'dedicated wokplacepool', 'kitchenSwimming Pool', 'first aid kit', 'paid parking on premises', 'ski-in/ski-out', 'BBQ grill', 'carbon monoxide alarm']",Winter,4601.823865636999,6,King,8,Waterfront,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Start check tell key arrive.,Region seat official customer morning bed. What away machine way. You operation matter sort.
New Coryland,-25.670124,108.666454,Villa,A room,5,2,"['TV', 'dedicated wokplacepool', 'Kitchen', 'carbon monoxide alarm', 'piano', 'pool table', 'fire extinguisher', 'indore fire place', 'outdoor shower', 'ski-in/ski-out', 'excercise eqipment', 'BBQ grill', 'Air Conditioning', 'beach access']",Autumn,4111.923809366781,3,King,4,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Increase beyond author.,Country according with attack little nearly drug consider.
Seanland,-63.5833415,-160.441790,Hotel,A shared room,5,1,"['kitchenSwimming Pool', 'fire extinguisher', 'ski-in/ski-out', 'Kitchen', 'carbon monoxide alarm', 'first aid kit', 'dedicated wokplacepool', 'paid parking on premises', 'TV', 'excercise eqipment', 'pool table', 'BBQ grill']",Autumn,1614.9868966328415,2,Queen,2,Suburb,An experienced guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Gas art toward collection capital available.,How peace campaign war word every offer catch. Reflect else born probably some.
Danielstown,-1.8522675,88.634074,Apartment,An entire place,5,2,"['first aid kit', 'dedicated wokplacepool', 'Kitchen', 'excercise eqipment', 'WiFi', 'TV']",Summer,3666.006227718368,4,Double,5,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Reason effect control finally.,Adult one food better occur guy beat. Throw but discuss yeah ok.
South Jefferyfort,-28.1235885,19.413445,Apartment,A shared room,4,3,"['BBQ grill', 'Free parking on premises', 'indore fire place', 'smoke alarm', 'WiFi', 'kitchenSwimming Pool', 'piano', 'pool table', 'excercise eqipment', 'first aid kit', 'ski-in/ski-out', 'beach access', 'outdoor shower', 'carbon monoxide alarm']",Autumn,2514.117926806136,7,Double,4,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Theory billion owner after miss.,Look population information car his plant. Skill sound hard structure yeah. This game better baby.
Toddburgh,65.9038545,104.013692,Guesthouse,A shared room,5,4,"['beach access', 'TV', 'BBQ grill', 'first aid kit', 'pool table', 'piano', 'smoke alarm', 'carbon monoxide alarm', 'Kitchen']",Summer,2078.270708620589,7,King,6,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Thus way matter size miss.,Police financial move. Financial cultural great position hold language share environmental. Almost recognize big water.
New Thomasmouth,-63.1056595,94.496289,Hotel,An entire place,4,4,"['indore fire place', 'excercise eqipment', 'BBQ grill', 'outdoor shower', 'piano', 'smoke alarm', 'carbon monoxide alarm', 'dedicated wokplacepool', 'fire extinguisher', 'kitchenSwimming Pool', 'Air Conditioning', 'beach access']",Winter,629.2709674926915,7,Queen,7,Suburb,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Should require would prevent.,Executive news age per pull develop speak deal. Remember fight husband base. Religious former lot collection fast perform. Truth very with dinner late market.
Wagnerville,-43.2359105,144.624762,Cave,An entire place,5,1,"['pool table', 'WiFi', 'Air Conditioning', 'TV', 'beach access', 'outdoor shower', 'piano', 'paid parking on premises', 'ski-in/ski-out', 'dedicated wokplacepool', 'carbon monoxide alarm', 'kitchenSwimming Pool', 'Kitchen', 'first aid kit', 'fire extinguisher', 'smoke alarm', 'BBQ grill', 'Free parking on premises']",Summer,1137.449676815372,2,King,2,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Various just cut agreement chance.,Step its when western simple society pay. North then suffer experience yard about. Herself listen note finally end.
Wiseton,20.436605,50.150147,Villa,An entire place,4,5,"['pool table', 'outdoor shower', 'paid parking on premises', 'fire extinguisher', 'dedicated wokplacepool', 'first aid kit', 'Air Conditioning', 'beach access']",Summer,4729.831268712701,6,Queen,9,Suburb,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Always president stock.,Challenge imagine century media. Degree story law common ever.
Adamland,-79.0572305,34.210728,Cave,A shared room,5,4,"['piano', 'ski-in/ski-out', 'Free parking on premises', 'pool table', 'dedicated wokplacepool', 'beach access', 'carbon monoxide alarm', 'Air Conditioning', 'first aid kit', 'kitchenSwimming Pool', 'fire extinguisher', 'paid parking on premises', 'BBQ grill', 'outdoor shower']",Autumn,754.1925143963202,4,Single,8,Waterfront,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",South service choose tough.,Likely cup couple trial whom though grow artist.
Lake Aaron,55.527075,93.485114,Guesthouse,A room,4,1,"['kitchenSwimming Pool', 'smoke alarm', 'indore fire place', 'piano', 'pool table', 'outdoor shower', 'excercise eqipment', 'Free parking on premises', 'ski-in/ski-out', 'fire extinguisher', 'WiFi', 'beach access', 'first aid kit', 'paid parking on premises', 'Air Conditioning', 'dedicated wokplacepool', 'TV']",Autumn,2611.81219523372,5,Single,5,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Ten look affect week number.,Use just town home fish fall many situation. Coach pick sing appear perform may which near.
South Pamelaport,-62.909526,86.241086,House,A shared room,5,4,"['WiFi', 'Kitchen', 'indore fire place', 'kitchenSwimming Pool', 'TV', 'ski-in/ski-out', 'excercise eqipment', 'Free parking on premises', 'first aid kit', 'pool table', 'piano', 'beach access', 'outdoor shower', 'paid parking on premises', 'Air Conditioning', 'BBQ grill', 'fire extinguisher', 'smoke alarm', 'carbon monoxide alarm', 'dedicated wokplacepool']",Winter,1129.2337065739455,8,King,5,Waterfront,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Accept development word property individual.,Family billion above exist father personal evidence. Story worry general us represent do people.
Deborahstad,12.3474435,-137.420563,Cabin,An entire place,4,3,"['excercise eqipment', 'carbon monoxide alarm', 'Free parking on premises', 'fire extinguisher', 'dedicated wokplacepool', 'ski-in/ski-out', 'indore fire place', 'TV', 'Kitchen', 'WiFi', 'Air Conditioning', 'piano', 'outdoor shower', 'BBQ grill', 'smoke alarm', 'first aid kit']",Autumn,4874.76276783727,7,Double,5,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Guess maybe debate fact walk break plan.,Think join power prepare.
Mariaport,28.361321,45.075151,Cabin,A room,3,5,"['WiFi', 'BBQ grill', 'piano', 'indore fire place', 'carbon monoxide alarm', 'Kitchen', 'smoke alarm', 'pool table', 'TV', 'outdoor shower', 'Free parking on premises', 'fire extinguisher', 'dedicated wokplacepool', 'kitchenSwimming Pool', 'ski-in/ski-out', 'excercise eqipment', 'first aid kit']",Summer,1897.6217767293547,8,Double,7,Mountain View,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",History when six toward buy people TV.,Whole could others group movement.
East Caitlinland,83.8948535,-14.882977,Guesthouse,A shared room,3,2,"['Kitchen', 'piano', 'indore fire place', 'fire extinguisher', 'ski-in/ski-out', 'first aid kit', 'WiFi', 'outdoor shower', 'carbon monoxide alarm']",Winter,4513.770694111197,6,King,6,Suburb,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Argue idea down foreign significant line.,Treat office yes surface American grow huge. Yard tend toward teacher. Sure enough friend worry woman performance.
Palmerland,73.564397,-92.489230,House,An entire place,4,4,"['pool table', 'BBQ grill', 'Kitchen', 'ski-in/ski-out', 'Air Conditioning', 'piano', 'first aid kit', 'WiFi', 'TV', 'smoke alarm', 'outdoor shower']",Autumn,4798.625545121034,7,Queen,7,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Not western test practice.,Rise possible manager resource. Police certain section however. To story position else.
North Catherineside,74.124345,69.912807,Villa,An entire place,5,3,"['WiFi', 'beach access', 'paid parking on premises', 'kitchenSwimming Pool']",Summer,1030.9608981901288,6,Double,7,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Full daughter north question assume country.,Image summer north its it director. Cover cultural the pay run. Cover seem build.
West Gregorychester,-61.163814,-122.660259,Cabin,An entire place,2,4,['pool table'],Summer,3899.9046356000695,8,Queen,8,Suburb,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Power ability increase show former staff.,Number none million money. Sit money rate medical then measure. Forget source last.
West Deanna,79.5778615,100.429963,Villa,A shared room,4,2,"['ski-in/ski-out', 'beach access', 'WiFi', 'first aid kit', 'paid parking on premises', 'outdoor shower', 'excercise eqipment', 'dedicated wokplacepool']",Winter,365.924997443469,3,King,6,Suburb,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",With economy add old.,Sort believe couple either enter. While marriage finally collection still space.
Emilyhaven,87.0138365,-123.526813,House,An entire place,1,4,"['carbon monoxide alarm', 'WiFi', 'Air Conditioning']",Autumn,3411.3642265470494,5,Single,5,Downtown,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Pay upon talk paper.,Their need money show easy weight risk protect. Eye special hot whose sea discussion. Fund baby national community course.
Andrewsland,-66.523237,-107.616444,Farm,A room,2,4,"['BBQ grill', 'dedicated wokplacepool', 'pool table', 'first aid kit', 'outdoor shower']",Autumn,1833.156093687003,4,Single,7,Downtown,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Across again say first walk.,Add wall more also money happen. May light service election American rather hit cut. Foot group sell great response.
North Paulaborough,-26.1466425,100.630059,Farm,A room,2,3,"['TV', 'Kitchen', 'beach access', 'indore fire place', 'dedicated wokplacepool', 'carbon monoxide alarm', 'paid parking on premises', 'BBQ grill', 'WiFi', 'Air Conditioning', 'outdoor shower', 'smoke alarm', 'Free parking on premises', 'pool table', 'fire extinguisher', 'ski-in/ski-out', 'first aid kit', 'excercise eqipment', 'piano']",Winter,3902.9480802872713,3,Queen,7,Downtown,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Sell second including direction act report.,Tough others resource person. Each continue as develop particular. Happy new career economic. Training house Republican election letter Democrat.
Connerstad,2.0754525,125.029230,Farm,A room,1,3,"['TV', 'dedicated wokplacepool', 'paid parking on premises', 'smoke alarm', 'indore fire place', 'Air Conditioning', 'outdoor shower', 'beach access', 'first aid kit', 'Free parking on premises', 'pool table', 'Kitchen', 'kitchenSwimming Pool', 'fire extinguisher']",Winter,675.2617363416969,5,King,5,Waterfront,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Drop agreement fight somebody issue whole adult guy.,Expert somebody raise check least mission east like. Best parent something hospital.
Port Jennifer,-80.0116045,82.100650,Cabin,A room,5,3,"['carbon monoxide alarm', 'Air Conditioning', 'kitchenSwimming Pool', 'paid parking on premises', 'smoke alarm', 'Free parking on premises', 'pool table', 'excercise eqipment', 'ski-in/ski-out', 'piano', 'Kitchen', 'WiFi', 'TV', 'first aid kit']",Winter,2806.3009404651975,5,Single,5,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Floor minute film world plant minute respond.,Improve should model agree be. Himself notice system. Price long last want reveal involve here.
Robertside,-48.5608495,-94.080835,Farm,A shared room,1,5,"['BBQ grill', 'indore fire place', 'Air Conditioning', 'first aid kit', 'carbon monoxide alarm', 'smoke alarm', 'TV', 'kitchenSwimming Pool', 'WiFi', 'Free parking on premises', 'fire extinguisher', 'pool table']",Autumn,2749.6078418482907,5,Double,9,Downtown,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Skill cause safe every against food contain.,Concern sometimes where kind edge spend open career. None I middle compare cost others.
Olsonstad,43.0678645,70.366234,Villa,A shared room,5,5,"['ski-in/ski-out', 'beach access', 'Free parking on premises', 'outdoor shower', 'kitchenSwimming Pool', 'WiFi', 'TV', 'paid parking on premises', 'Kitchen', 'smoke alarm', 'excercise eqipment', 'dedicated wokplacepool']",Summer,2565.6305335947377,8,Double,7,Mountain View,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Amount woman ten community.,About source watch past here want know. Learn also available body star.
Danielleborough,13.056286,-81.146235,Cabin,An entire place,5,1,"['piano', 'beach access', 'paid parking on premises', 'dedicated wokplacepool', 'BBQ grill', 'Free parking on premises', 'kitchenSwimming Pool', 'excercise eqipment', 'indore fire place', 'carbon monoxide alarm', 'TV', 'first aid kit', 'fire extinguisher', 'Air Conditioning', 'Kitchen', 'WiFi']",Summer,2548.96605064671,2,Single,3,Downtown,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Compare show here.,Education various feeling weight skin. Million difference place quickly relationship. Ago agency smile leave edge single.
Jamesmouth,51.900570,-148.659763,Apartment,A shared room,3,2,"['beach access', 'TV', 'paid parking on premises', 'piano', 'excercise eqipment', 'first aid kit', 'indore fire place', 'BBQ grill', 'Air Conditioning', 'outdoor shower', 'Kitchen', 'Free parking on premises', 'fire extinguisher', 'WiFi']",Winter,4570.917502074957,2,Single,6,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Available image score gun politics.,Page charge woman win card. Agency offer morning hundred. Also long century mind.
Hornhaven,-30.6513015,-58.521560,Apartment,An entire place,2,3,"['indore fire place', 'kitchenSwimming Pool', 'ski-in/ski-out', 'paid parking on premises', 'Kitchen', 'TV']",Summer,2862.979224767816,4,Single,5,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Son past relationship budget.,Above take side indicate front few music. Hard choice bar eat Republican possible company how. Purpose ability image.
East Theresaland,53.1228315,177.468482,Farm,A room,3,1,"['kitchenSwimming Pool', 'Kitchen', 'first aid kit', 'smoke alarm', 'excercise eqipment', 'dedicated wokplacepool', 'pool table', 'paid parking on premises', 'indore fire place', 'outdoor shower', 'BBQ grill', 'piano', 'WiFi', 'beach access', 'carbon monoxide alarm', 'ski-in/ski-out', 'TV', 'fire extinguisher', 'Free parking on premises', 'Air Conditioning']",Autumn,3083.9301827363142,3,Single,2,Downtown,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Seem nothing recent word specific catch admit.,Discussion difference American something claim. Fly child three significant claim such of. Across star citizen look mind thought.
Jenningshaven,-44.051073,83.071002,Farm,A shared room,3,4,"['dedicated wokplacepool', 'Air Conditioning', 'TV', 'ski-in/ski-out', 'piano', 'paid parking on premises', 'fire extinguisher', 'excercise eqipment', 'first aid kit', 'WiFi', 'Kitchen', 'pool table', 'kitchenSwimming Pool']",Winter,671.0888344015674,7,Double,6,Suburb,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Age main moment ok television let history.,Officer near treat. Staff hair final agreement. Recently trouble type game she painting. Teach education though keep page treat month official.
Lake Elizabeth,-30.451999,-81.964478,Farm,A room,1,4,"['indore fire place', 'ski-in/ski-out', 'beach access']",Winter,4177.885143750295,8,Double,5,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Federal support store successful.,Analysis serve brother go heart. Foot condition value prepare.
Jacobport,10.436402,100.663729,House,A room,3,2,"['smoke alarm', 'WiFi', 'Free parking on premises', 'beach access', 'Air Conditioning', 'BBQ grill', 'TV']",Autumn,4873.591302478136,6,King,5,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Board billion represent each.,Pattern clearly parent party explain meeting. Almost natural yourself data.
North Meganfort,19.294513,-82.140249,Apartment,An entire place,4,5,"['Air Conditioning', 'BBQ grill', 'beach access', 'carbon monoxide alarm', 'piano', 'smoke alarm', 'pool table', 'dedicated wokplacepool', 'kitchenSwimming Pool', 'ski-in/ski-out', 'Free parking on premises', 'outdoor shower', 'Kitchen', 'fire extinguisher', 'excercise eqipment', 'indore fire place']",Winter,1321.695487149175,9,King,7,Suburb,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Right later tell situation how song wife price.,Popular rate hotel oil. Picture process environment voice analysis especially produce. Bed improve father.
Smithborough,-61.640927,98.095013,Hotel,A shared room,4,1,['kitchenSwimming Pool'],Winter,2607.033437123128,2,Single,3,Downtown,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Away investment happen machine rest the no.,Score data claim quality. Spring wait call writer security yet leave. Read threat strong what here listen.
Christopherview,12.4729325,-15.274178,Hotel,An entire place,1,2,"['beach access', 'excercise eqipment', 'carbon monoxide alarm', 'Kitchen', 'TV', 'pool table']",Winter,1914.72646464421,4,Single,6,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",See spring fish.,Product source back. Country American start responsibility. After understand degree everybody mean town direction.
Allentown,-53.337112,148.770638,Apartment,A room,5,4,"['Free parking on premises', 'WiFi', 'pool table', 'smoke alarm', 'dedicated wokplacepool']",Autumn,4276.547039731162,4,Single,7,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Avoid heart radio ok order worry mean.,Republican lawyer color hour rise summer.
Lake Kristen,-68.7732125,106.100576,Cave,A shared room,2,5,"['paid parking on premises', 'kitchenSwimming Pool', 'TV', 'Air Conditioning', 'ski-in/ski-out', 'first aid kit', 'Kitchen', 'beach access', 'carbon monoxide alarm', 'excercise eqipment', 'outdoor shower', 'fire extinguisher']",Autumn,3108.7889410161674,9,King,9,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Fine after decision perform break one.,Early person land get activity.
Mooreside,43.930286,134.225482,Apartment,A room,3,1,"['first aid kit', 'beach access', 'TV', 'ski-in/ski-out', 'piano']",Autumn,442.13160332847764,1,Double,5,Mountain View,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Miss whose property student draw enough.,Performance soon number amount describe. Story future treat black. Guy paper apply operation foreign sister. Many wait story not.
New Sherryton,-59.2138495,-119.922286,Cabin,A room,2,2,"['excercise eqipment', 'Kitchen', 'first aid kit', 'smoke alarm', 'dedicated wokplacepool', 'TV', 'pool table', 'Air Conditioning', 'Free parking on premises', 'WiFi', 'paid parking on premises', 'BBQ grill', 'carbon monoxide alarm', 'outdoor shower']",Summer,1720.5794206199048,3,Single,5,Downtown,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Almost society just while.,Position small marriage Republican station response society. Hot sure television scientist.
